Tiempo ,Entrada,ANGULO,POSICION
-0.4,0.0,0.0,0.0
-0.38,0.0,0.0,0.0
-0.36,0.0,0.0,0.0
-0.34,0.0,0.0,0.0
-0.32,0.0,0.0,0.0
-0.3,0.0,0.0,0.0
-0.28,0.0,0.0,0.0
-0.26,0.0,0.0,0.0
-0.24,0.0,0.0,0.0
-0.22,0.0,0.0,0.0
-0.2,0.0,0.0,0.0
-0.18,0.0,0.0,0.0
-0.16,0.0,0.0,0.0
-0.14,0.0,0.0,0.0
-0.12,0.0,0.0,0.0
-0.1,0.0,0.0,0.0
-0.08,0.0,0.0,0.0
-0.06,0.0,0.0,0.0
-0.04,0.0,0.0,0.0
-0.02,0.0,0.0,0.0
0.0,0.0,-0.0,-0.0
0.02,0.0,-0.0,-0.0
0.04,0.3,-0.0,-0.0
0.06,0.6,-0.0,-0.0
0.08,0.9,-0.0,-0.0
0.1,1.2,-0.0,0.0
0.12,1.5,-0.0,0.0
0.14,1.8,-0.0,0.0
0.16,2.1,-0.0,0.0
0.18,2.4,-0.0,0.0
0.2,2.7,-0.002,0.0
0.22,3.0,-0.009,0.001
0.24,3.3,-0.016,0.001
0.26,3.6,-0.026,0.002
0.28,3.9,-0.037,0.003
0.3,4.2,-0.052,0.004
0.32,4.5,-0.07,0.005
0.34,4.8,-0.084,0.006
0.36,5.1,-0.106,0.008
0.38,5.4,-0.127,0.009
0.4,5.7,-0.152,0.011
0.42,6.0,-0.178,0.014
0.44,6.3,-0.197,0.016
0.46,6.6,-0.223,0.018
0.48,6.9,-0.248,0.021
0.5,7.2,-0.269,0.024
0.52,7.5,-0.283,0.026
0.54,7.5,-0.298,0.029
0.56,7.5,-0.318,0.032
0.58,7.5,-0.326,0.035
0.6,7.5,-0.337,0.039
0.62,7.5,-0.342,0.042
0.64,7.5,-0.339,0.045
0.66,7.5,-0.337,0.049
0.68,7.5,-0.323,0.052
0.7,7.5,-0.312,0.055
0.72,7.5,-0.293,0.059
0.74,7.5,-0.271,0.062
0.76,7.5,-0.244,0.065
0.78,7.5,-0.215,0.069
0.8,7.5,-0.183,0.072
0.82,7.5,-0.147,0.076
0.84,7.5,-0.112,0.079
0.86,7.5,-0.073,0.083
0.88,7.5,-0.037,0.086
0.9,7.5,-0.003,0.09
0.92,7.5,0.035,0.093
0.94,7.5,0.072,0.097
0.96,7.5,0.103,0.101
0.98,7.5,0.14,0.104
1.0,7.5,0.168,0.108
1.02,7.5,0.202,0.111
1.04,7.5,0.225,0.115
1.06,7.5,0.246,0.119
1.08,7.5,0.269,0.122
1.1,7.5,0.281,0.126
1.12,7.5,0.297,0.13
1.14,7.5,0.305,0.133
1.16,7.5,0.307,0.137
1.18,7.5,0.311,0.14
1.2,7.5,0.304,0.144
1.22,7.5,0.298,0.147
