Tiempo ,CONTROL,PID,ANGULO,REFERENCIA,PERTURBACION
-0.4,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.0,0.0,0.0
0.02,0.0,0.0,-0.0,0.0,0.0
0.04,0.033,0.033,-0.0,0.6,0.0
0.06,0.066,0.066,-0.0,0.6,0.0
0.08,0.1,0.1,-0.0,0.6,0.0
0.1,0.133,0.133,-0.0,0.6,0.0
0.12,0.166,0.166,-0.0,0.6,0.0
0.14,0.199,0.199,-0.0,0.6,0.0
0.16,0.233,0.233,-0.0,0.6,0.0
0.18,0.266,0.266,-0.0,0.6,0.0
0.2,0.299,0.299,-0.0,0.6,0.0
0.22,0.332,0.332,-0.0,0.6,0.0
0.24,0.366,0.366,-0.0,0.6,0.0
0.26,0.399,0.399,-0.0,0.6,0.0
0.28,0.432,0.432,-0.0,0.6,0.0
0.3,0.465,0.465,-0.0,0.6,0.0
0.32,0.499,0.499,-0.0,0.6,0.0
0.34,0.532,0.532,-0.0,0.6,0.0
0.36,0.565,0.565,-0.0,0.6,0.0
0.38,0.598,0.598,-0.0,0.6,0.0
0.4,0.585,0.585,0.002,0.6,0.0
0.42,0.585,0.585,0.003,0.6,0.0
0.44,0.593,0.593,0.005,0.6,0.0
0.46,0.608,0.608,0.007,0.6,0.0
0.48,0.627,0.627,0.009,0.6,0.0
0.5,0.604,0.604,0.012,0.6,0.0
0.52,0.595,0.595,0.016,0.6,0.0
0.54,0.55,0.55,0.021,0.6,0.0
0.56,0.571,0.571,0.024,0.6,0.0
0.58,0.548,0.548,0.03,0.6,0.0
0.6,0.493,0.493,0.037,0.6,0.0
0.62,0.459,0.459,0.044,0.6,0.0
0.64,0.442,0.442,0.051,0.6,0.0
0.66,0.435,0.435,0.058,0.6,0.0
0.68,0.39,0.39,0.066,0.6,0.0
0.7,0.363,0.363,0.075,0.6,0.0
0.72,0.349,0.349,0.084,0.6,0.0
0.74,0.344,0.344,0.093,0.6,0.0
0.76,0.299,0.299,0.103,0.6,0.0
0.78,0.318,0.318,0.112,0.6,0.0
0.8,0.335,0.335,0.12,0.6,0.0
0.82,0.306,0.306,0.131,0.6,0.0
0.84,0.335,0.335,0.14,0.6,0.0
0.86,0.359,0.359,0.148,0.6,0.0
0.88,0.381,0.381,0.157,0.6,0.0
0.9,0.4,0.4,0.166,0.6,0.0
0.92,0.464,0.464,0.173,0.6,0.0
0.94,0.514,0.514,0.18,0.6,0.0
0.96,0.554,0.554,0.187,0.6,0.0
0.98,0.632,0.632,0.192,0.6,0.0
1.0,0.647,0.647,0.199,0.6,0.0
1.02,0.754,0.754,0.202,0.6,0.0
1.04,0.789,0.789,0.208,0.6,0.0
1.06,0.864,0.864,0.211,0.6,0.0
1.08,0.923,0.923,0.215,0.6,0.0
1.1,0.97,0.97,0.218,0.6,0.0
1.12,1.055,1.055,0.22,0.6,0.0
1.14,1.074,1.074,0.223,0.6,0.0
1.16,1.093,1.093,0.227,0.6,0.0
1.18,1.157,1.157,0.229,0.6,0.0
1.2,1.208,1.208,0.23,0.6,0.0
1.22,1.204,1.204,0.234,0.6,0.0
1.24,1.251,1.251,0.236,0.6,0.0
1.26,1.244,1.244,0.239,0.6,0.0
1.28,1.243,1.243,0.243,0.6,0.0
1.3,1.247,1.247,0.246,0.6,0.0
1.32,1.208,1.208,0.251,0.6,0.0
1.34,1.183,1.183,0.257,0.6,0.0
1.36,1.17,1.17,0.262,0.6,0.0
1.38,1.117,1.117,0.269,0.6,0.0
1.4,1.082,1.082,0.276,0.6,0.0
1.42,1.059,1.059,0.283,0.6,0.0
1.44,1.046,1.046,0.29,0.6,0.0
1.46,0.992,0.992,0.298,0.6,0.0
1.48,0.955,0.955,0.307,0.6,0.0
1.5,0.93,0.93,0.316,0.6,0.0
1.52,0.868,0.868,0.326,0.6,0.0
1.54,0.87,0.87,0.335,0.6,0.0
1.56,0.872,0.872,0.344,0.6,0.0
1.58,0.875,0.875,0.353,0.6,0.0
1.6,0.877,0.877,0.361,0.6,0.0
1.62,0.88,0.88,0.37,0.6,0.0
1.64,0.929,0.929,0.377,0.6,0.0
1.66,0.964,0.964,0.384,0.6,0.0
1.68,0.991,0.991,0.391,0.6,0.0
1.7,1.01,1.01,0.398,0.6,0.0
1.72,1.071,1.071,0.403,0.6,0.0
1.74,1.162,1.162,0.407,0.6,0.0
1.76,1.183,1.183,0.412,0.6,0.0
1.78,1.245,1.245,0.415,0.6,0.0
1.8,1.337,1.337,0.417,0.6,0.0
1.82,1.405,1.405,0.419,0.6,0.0
1.84,1.456,1.456,0.421,0.6,0.0
1.86,1.495,1.495,0.422,0.6,0.0
1.88,1.525,1.525,0.424,0.6,0.0
1.9,1.595,1.595,0.424,0.6,0.0
1.92,1.601,1.601,0.426,0.6,0.0
1.94,1.607,1.607,0.428,0.6,0.0
1.96,1.614,1.614,0.429,0.6,0.0
1.98,1.621,1.621,0.431,0.6,0.0
2.0,1.628,1.628,0.433,0.6,0.0
2.02,1.589,1.589,0.436,0.6,0.0
2.04,1.562,1.562,0.44,0.6,0.0
2.06,1.544,1.544,0.443,0.6,0.0
2.08,1.533,1.533,0.447,0.6,0.0
2.1,1.479,1.479,0.452,0.6,0.0
2.12,1.441,1.441,0.457,0.6,0.0
2.14,1.415,1.415,0.463,0.6,0.0
2.16,1.396,1.396,0.468,0.6,0.0
2.18,1.336,1.336,0.475,0.6,0.0
2.2,1.34,1.34,0.48,0.6,0.0
2.22,1.296,1.296,0.487,0.6,0.0
2.24,1.31,1.31,0.492,0.6,0.0
2.26,1.273,1.273,0.499,0.6,0.0
2.28,1.293,1.293,0.504,0.6,0.0
2.3,1.26,1.26,0.511,0.6,0.0
2.32,1.281,1.281,0.517,0.6,0.0
2.34,1.343,1.343,0.52,0.6,0.0
2.36,1.34,1.34,0.525,0.6,0.0
2.38,1.384,1.384,0.529,0.6,0.0
2.4,1.415,1.415,0.532,0.6,0.0
2.42,1.483,1.483,0.534,0.6,0.0
2.44,1.486,1.486,0.538,0.6,0.0
2.46,1.534,1.534,0.539,0.6,0.0
2.48,1.615,1.615,0.539,0.6,0.0
2.5,1.628,1.628,0.541,0.6,0.0
2.52,1.684,1.684,0.541,0.6,0.0
2.54,1.724,1.724,0.541,0.6,0.0
2.56,1.754,1.754,0.541,0.6,0.0
2.58,1.777,1.777,0.541,0.6,0.0
2.6,1.793,1.793,0.541,0.6,0.0
2.62,1.806,1.806,0.541,0.6,0.0
2.64,1.77,1.77,0.543,0.6,0.0
2.66,1.791,1.791,0.543,0.6,0.0
2.68,1.76,1.76,0.545,0.6,0.0
2.7,1.785,1.785,0.545,0.6,0.0
2.72,1.757,1.757,0.546,0.6,0.0
2.74,1.691,1.691,0.55,0.6,0.0
2.76,1.69,1.69,0.552,0.6,0.0
2.78,1.643,1.643,0.555,0.6,0.0
