Tiempo ,CONTROL,REI,VELOCIDAD,ANGULO,REFERENCIA,PERTURBACION
-0.4,0.0,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.256,0.66,0.047,0.0,0.0
0.02,0.0,-0.412,1.015,0.047,0.0,0.0
0.04,0.0,-0.141,0.425,0.045,0.6,0.0
0.06,0.045,0.045,0.031,0.044,0.6,0.0
0.08,0.114,0.114,-0.097,0.042,0.6,0.0
0.1,0.134,0.134,-0.109,0.04,0.6,0.0
0.12,0.152,0.152,-0.124,0.037,0.6,0.0
0.14,0.169,0.169,-0.13,0.035,0.6,0.0
0.16,0.182,0.182,-0.132,0.031,0.6,0.0
0.18,0.206,0.206,-0.158,0.028,0.6,0.0
0.2,0.225,0.225,-0.172,0.024,0.6,0.0
0.22,0.229,0.229,-0.149,0.023,0.6,0.0
0.24,0.246,0.246,-0.161,0.017,0.6,0.0
0.26,0.275,0.275,-0.197,0.014,0.6,0.0
0.28,0.285,0.285,-0.189,0.01,0.6,0.0
0.3,0.294,0.294,-0.179,0.007,0.6,0.0
0.32,0.305,0.305,-0.175,0.003,0.6,0.0
0.34,0.318,0.318,-0.174,-0.0,0.6,0.0
